feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,target
212730610000.0,0.0,0.0,0.0,0.0,13876711000000.0,0.0,0.0,659243600000.0,2672479200000.0,0.0,0.0,0.0,3646861000000.0,3851354000000.0,0.0,7725866000000.0,3143759000000.0,2769225000000.0,0.0,3
211993400000.0,0.0,0.0,0.0,0.0,13203856000000.0,0.0,0.0,623596600000.0,2552936800000.0,0.0,0.0,0.0,3465690500000.0,3661130000000.0,0.0,7344184000000.0,2994016600000.0,2640367800000.0,0.0,0
210095010000.0,0.0,0.0,0.0,0.0,24027958000000.0,0.0,0.0,1010358400000.0,4179898000000.0,0.0,0.0,0.0,6407091400000.0,6570159000000.0,0.0,13389795000000.0,5274322600000.0,4777316000000.0,0.0,0
185644610000.0,0.0,0.0,0.0,0.0,10359585000000.0,0.0,0.0,522411540000.0,2136996800000.0,0.0,0.0,0.0,2716453000000.0,2906448200000.0,0.0,5765479000000.0,2412801200000.0,2084038100000.0,0.0,1
193868040000.0,0.0,0.0,0.0,0.0,11299444000000.0,0.0,0.0,553632100000.0,2276178300000.0,0.0,0.0,0.0,2965440000000.0,3154843800000.0,0.0,6285114000000.0,2606869300000.0,2270337000000.0,0.0,4
200272940000.0,0.0,0.0,0.0,0.0,11773896000000.0,0.0,0.0,575943700000.0,2353544000000.0,0.0,0.0,0.0,3088070200000.0,3284620800000.0,0.0,6551606000000.0,2706348400000.0,2361132300000.0,0.0,4
200304070000.0,0.0,0.0,0.0,0.0,12189226000000.0,0.0,0.0,579883040000.0,2400358500000.0,0.0,0.0,0.0,3202318900000.0,3387403000000.0,0.0,6775684000000.0,2787364600000.0,2447003400000.0,0.0,5
175905730000.0,0.0,0.0,0.0,0.0,10596094000000.0,0.0,0.0,510270730000.0,2141543900000.0,0.0,0.0,0.0,2789885000000.0,2955957800000.0,0.0,5887920400000.0,2453931000000.0,2137214600000.0,0.0,3
231368850000.0,0.0,0.0,0.0,0.0,16784945000000.0,0.0,0.0,757408300000.0,3092835200000.0,0.0,0.0,0.0,4422082000000.0,4622880000000.0,0.0,9338616000000.0,3739367800000.0,3340162000000.0,0.0,0
193689450000.0,0.0,0.0,0.0,0.0,11019320000000.0,0.0,0.0,549005620000.0,2239136800000.0,0.0,0.0,0.0,2888492000000.0,3083855700000.0,0.0,6133237400000.0,2549415700000.0,2212258000000.0,0.0,6
233273520000.0,0.0,0.0,0.0,0.0,19730373000000.0,0.0,0.0,856803050000.0,3516651000000.0,0.0,0.0,0.0,5219465300000.0,5408166000000.0,0.0,10981702000000.0,4349841400000.0,3921132400000.0,0.0,0
178224760000.0,0.0,0.0,0.0,0.0,10010980000000.0,0.0,0.0,504019000000.0,2079087700000.0,0.0,0.0,0.0,2629007000000.0,2810454000000.0,0.0,5569468400000.0,2340846800000.0,2018380100000.0,0.0,1
226443100000.0,0.0,0.0,0.0,0.0,15977600000000.0,0.0,0.0,730946000000.0,2979468000000.0,0.0,0.0,0.0,4206889300000.0,4409539000000.0,0.0,8891065000000.0,3575719100000.0,3181919900000.0,0.0,3
213081160000.0,0.0,0.0,0.0,0.0,15375455000000.0,0.0,0.0,710820760000.0,2887291000000.0,0.0,0.0,0.0,4053387700000.0,4251970000000.0,0.0,8562844000000.0,3453149000000.0,3062618700000.0,0.0,1
188213460000.0,0.0,0.0,0.0,0.0,10553665000000.0,0.0,0.0,529624370000.0,2164891200000.0,0.0,0.0,0.0,2766802500000.0,2957994600000.0,0.0,5873436500000.0,2451785600000.0,2121627300000.0,0.0,1
213742490000.0,0.0,0.0,0.0,0.0,13471373000000.0,0.0,0.0,640195040000.0,2608884600000.0,0.0,0.0,0.0,3536986300000.0,3739011300000.0,0.0,7496294000000.0,3057337800000.0,2691900000000.0,0.0,3
181687910000.0,0.0,0.0,0.0,0.0,10534733000000.0,0.0,0.0,518795920000.0,2151674700000.0,0.0,0.0,0.0,2768530600000.0,2947024000000.0,0.0,5857835000000.0,2447248000000.0,2122707000000.0,0.0,1
186139180000.0,0.0,0.0,0.0,0.0,11156032000000.0,0.0,0.0,536509450000.0,2234300500000.0,0.0,0.0,0.0,2933429600000.0,3108469500000.0,0.0,6200201000000.0,2571003000000.0,2245576600000.0,0.0,4
192079820000.0,0.0,0.0,0.0,0.0,11508531000000.0,0.0,0.0,553458400000.0,2295793000000.0,0.0,0.0,0.0,3024387600000.0,3205300700000.0,0.0,6397236300000.0,2646665600000.0,2314070000000.0,0.0,5
193153100000.0,0.0,0.0,0.0,0.0,11443762000000.0,0.0,0.0,554151100000.0,2290849400000.0,0.0,0.0,0.0,3005731800000.0,3190105600000.0,0.0,6362757000000.0,2634605000000.0,2300321700000.0,0.0,2
208367290000.0,0.0,0.0,0.0,0.0,12961402000000.0,0.0,0.0,625076000000.0,2535350000000.0,0.0,0.0,0.0,3402245000000.0,3606151700000.0,0.0,7216260000000.0,2953441400000.0,2590081500000.0,0.0,0
198518870000.0,0.0,0.0,0.0,0.0,11958699000000.0,0.0,0.0,572475800000.0,2367245000000.0,0.0,0.0,0.0,3141150000000.0,3326732100000.0,0.0,6648233000000.0,2740226000000.0,2401419100000.0,0.0,5
189972450000.0,0.0,0.0,0.0,0.0,10634113000000.0,0.0,0.0,535874600000.0,2183076600000.0,0.0,0.0,0.0,2787037200000.0,2982040600000.0,0.0,5919827000000.0,2470671000000.0,2136484200000.0,0.0,6
177402220000.0,0.0,0.0,0.0,0.0,9771013000000.0,0.0,0.0,498848660000.0,2048082000000.0,0.0,0.0,0.0,2564507000000.0,2748921200000.0,0.0,5437941000000.0,2292534200000.0,1969945400000.0,0.0,2
229385600000.0,0.0,0.0,0.0,0.0,16517505000000.0,0.0,0.0,746764600000.0,3048623800000.0,0.0,0.0,0.0,4350648300000.0,4550319700000.0,0.0,9189655000000.0,3681760600000.0,3287258800000.0,0.0,2
187969270000.0,0.0,0.0,0.0,0.0,10692219000000.0,0.0,0.0,532810400000.0,2186664000000.0,0.0,0.0,0.0,2805227000000.0,2994154500000.0,0.0,5948895000000.0,2482260000000.0,2150694800000.0,0.0,4
193066530000.0,0.0,0.0,0.0,0.0,13164812000000.0,0.0,0.0,585236600000.0,2497294400000.0,0.0,0.0,0.0,3475163000000.0,3625851000000.0,0.0,7303375000000.0,2972678600000.0,2646117000000.0,0.0,5
206025750000.0,0.0,0.0,0.0,0.0,12467222000000.0,0.0,0.0,598987300000.0,2454911200000.0,0.0,0.0,0.0,3271793600000.0,3467638000000.0,0.0,6935257500000.0,2848799600000.0,2498130300000.0,0.0,4
179550220000.0,0.0,0.0,0.0,0.0,10191718000000.0,0.0,0.0,509346350000.0,2104114800000.0,0.0,0.0,0.0,2676907000000.0,2857687300000.0,0.0,5669066400000.0,2377471500000.0,2054180600000.0,0.0,5
187358670000.0,0.0,0.0,0.0,0.0,11286232000000.0,0.0,0.0,564861670000.0,2272876600000.0,0.0,0.0,0.0,2963420700000.0,3160533600000.0,0.0,6291949000000.0,2602820200000.0,2257935700000.0,0.0,0
212933310000.0,0.0,0.0,0.0,0.0,13275489000000.0,0.0,0.0,625229900000.0,2568150300000.0,0.0,0.0,0.0,3485470000000.0,3679970700000.0,0.0,7382328400000.0,3011673800000.0,2656643300000.0,0.0,4
178867800000.0,0.0,0.0,0.0,0.0,10505022000000.0,0.0,0.0,513130140000.0,2137700700000.0,0.0,0.0,0.0,2762619000000.0,2935700600000.0,0.0,5839629000000.0,2437729000000.0,2117674000000.0,0.0,4
194362500000.0,0.0,0.0,0.0,0.0,13468625000000.0,0.0,0.0,593215950000.0,2537261400000.0,0.0,0.0,0.0,3556776300000.0,3704334800000.0,0.0,7470513700000.0,3033139200000.0,2706265300000.0,0.0,1
185440010000.0,0.0,0.0,0.0,0.0,10465853000000.0,0.0,0.0,524515000000.0,2151803300000.0,0.0,0.0,0.0,2745743000000.0,2933785600000.0,0.0,5823372000000.0,2435163600000.0,2106022000000.0,0.0,4
202395390000.0,0.0,0.0,0.0,0.0,12055615000000.0,0.0,0.0,584496600000.0,2393463600000.0,0.0,0.0,0.0,3162981500000.0,3358323600000.0,0.0,6706972000000.0,2763776300000.0,2417136500000.0,0.0,1
191859950000.0,0.0,0.0,0.0,0.0,10902359000000.0,0.0,0.0,544286000000.0,2222897200000.0,0.0,0.0,0.0,2858543700000.0,3052586700000.0,0.0,6067773000000.0,2526573800000.0,2190277300000.0,0.0,1
177005500000.0,0.0,0.0,0.0,0.0,9867856000000.0,0.0,0.0,499615100000.0,2059331600000.0,0.0,0.0,0.0,2591278800000.0,2772999000000.0,0.0,5490528500000.0,2311990000000.0,1990174800000.0,0.0,5
220493220000.0,0.0,0.0,0.0,0.0,22220750000000.0,0.0,0.0,944040250000.0,3894241400000.0,0.0,0.0,0.0,5907551400000.0,6079773000000.0,0.0,12376910000000.0,4881411000000.0,4417221300000.0,0.0,0
185156600000.0,0.0,0.0,0.0,0.0,10620410000000.0,0.0,0.0,526318860000.0,2170264400000.0,0.0,0.0,0.0,2788431800000.0,2972562800000.0,0.0,5907262500000.0,2466035300000.0,2137887600000.0,0.0,1
188368580000.0,0.0,0.0,0.0,0.0,10872656000000.0,0.0,0.0,536326960000.0,2209421500000.0,0.0,0.0,0.0,2854224100000.0,3040175500000.0,0.0,6047491000000.0,2518285800000.0,2187164500000.0,0.0,2
186503360000.0,0.0,0.0,0.0,0.0,10375979000000.0,0.0,0.0,532821640000.0,2146477500000.0,0.0,0.0,0.0,2719005500000.0,2918210000000.0,0.0,5783277000000.0,2417068900000.0,2080844300000.0,0.0,0
205485870000.0,0.0,0.0,0.0,0.0,12360207000000.0,0.0,0.0,595946800000.0,2439839700000.0,0.0,0.0,0.0,3243136300000.0,3439756300000.0,0.0,6876338000000.0,2826866000000.0,2476696100000.0,0.0,4
196967630000.0,0.0,0.0,0.0,0.0,12781352000000.0,0.0,0.0,584007160000.0,2457674400000.0,0.0,0.0,0.0,3366520000000.0,3532367000000.0,0.0,7095995000000.0,2898556600000.0,2567355200000.0,0.0,5
187664660000.0,0.0,0.0,0.0,0.0,10990843000000.0,0.0,0.0,536930250000.0,2221947700000.0,0.0,0.0,0.0,2887287800000.0,3069240100000.0,0.0,6111288600000.0,2541332500000.0,2211715000000.0,0.0,5
182956850000.0,0.0,0.0,0.0,0.0,10410767000000.0,0.0,0.0,519296800000.0,2139872200000.0,0.0,0.0,0.0,2733290800000.0,2917230200000.0,0.0,5791285000000.0,2423351000000.0,2096572400000.0,0.0,5
174610510000.0,0.0,0.0,0.0,0.0,9276228000000.0,0.0,0.0,492031930000.0,1973777100000.0,0.0,0.0,0.0,2430234000000.0,2623861200000.0,0.0,5173666600000.0,2185850300000.0,1863216800000.0,0.0,0
198474500000.0,0.0,0.0,0.0,0.0,13307542000000.0,0.0,0.0,636245640000.0,2569707500000.0,0.0,0.0,0.0,3501905700000.0,3698510500000.0,0.0,7414633000000.0,3020046500000.0,2655151000000.0,0.0,3
180263030000.0,0.0,0.0,0.0,0.0,9657511000000.0,0.0,0.0,506632570000.0,2038927900000.0,0.0,0.0,0.0,2529762700000.0,2726445400000.0,0.0,5383390000000.0,2268559300000.0,1939714500000.0,0.0,0
185116660000.0,0.0,0.0,0.0,0.0,10462627000000.0,0.0,0.0,523229720000.0,2148168200000.0,0.0,0.0,0.0,2745017600000.0,2931946000000.0,0.0,5821135600000.0,2433042400000.0,2105364000000.0,0.0,3
